,tile,date,variable,value,geometry
80,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.6643162,"POLYGON ((-66.85833333333333 10.541666666666666, -66.85416666666667 10.541666666666666, -66.85416666666667 10.545833333333333, -66.85833333333333 10.545833333333333, -66.85833333333333 10.541666666666666))"
81,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.4721584,"POLYGON ((-66.83333333333333 10.541666666666666, -66.82916666666667 10.541666666666666, -66.82916666666667 10.545833333333333, -66.83333333333333 10.545833333333333, -66.83333333333333 10.541666666666666))"
82,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.47356814,"POLYGON ((-66.82916666666667 10.541666666666666, -66.825 10.541666666666666, -66.825 10.545833333333333, -66.82916666666667 10.545833333333333, -66.82916666666667 10.541666666666666))"
83,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.51051784,"POLYGON ((-66.825 10.541666666666666, -66.82083333333334 10.541666666666666, -66.82083333333334 10.545833333333333, -66.825 10.545833333333333, -66.825 10.541666666666666))"
84,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.19836386,"POLYGON ((-66.82083333333334 10.541666666666666, -66.81666666666668 10.541666666666666, -66.81666666666668 10.545833333333333, -66.82083333333334 10.545833333333333, -66.82083333333334 10.541666666666666))"
85,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.39044774,"POLYGON ((-66.81666666666666 10.541666666666666, -66.8125 10.541666666666666, -66.8125 10.545833333333333, -66.81666666666666 10.545833333333333, -66.81666666666666 10.541666666666666))"
86,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.3564742,"POLYGON ((-66.8125 10.541666666666666, -66.80833333333334 10.541666666666666, -66.80833333333334 10.545833333333333, -66.8125 10.545833333333333, -66.8125 10.541666666666666))"
87,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.3067558,"POLYGON ((-66.80833333333334 10.541666666666666, -66.80416666666667 10.541666666666666, -66.80416666666667 10.545833333333333, -66.80833333333334 10.545833333333333, -66.80833333333334 10.541666666666666))"
88,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.483715,"POLYGON ((-66.7875 10.541666666666666, -66.78333333333333 10.541666666666666, -66.78333333333333 10.545833333333333, -66.7875 10.545833333333333, -66.7875 10.541666666666666))"
89,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.31062907,"POLYGON ((-66.78333333333333 10.541666666666666, -66.77916666666667 10.541666666666666, -66.77916666666667 10.545833333333333, -66.78333333333333 10.545833333333333, -66.78333333333333 10.541666666666666))"
90,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.31783804,"POLYGON ((-66.77916666666667 10.541666666666666, -66.775 10.541666666666666, -66.775 10.545833333333333, -66.77916666666667 10.545833333333333, -66.77916666666667 10.541666666666666))"
91,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.21682107,"POLYGON ((-66.775 10.541666666666666, -66.77083333333334 10.541666666666666, -66.77083333333334 10.545833333333333, -66.775 10.545833333333333, -66.775 10.541666666666666))"
92,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.30980057,"POLYGON ((-66.75833333333334 10.541666666666666, -66.75416666666668 10.541666666666666, -66.75416666666668 10.545833333333333, -66.75833333333334 10.545833333333333, -66.75833333333334 10.541666666666666))"
93,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.58631676,"POLYGON ((-66.74583333333334 10.541666666666666, -66.74166666666667 10.541666666666666, -66.74166666666667 10.545833333333333, -66.74583333333334 10.545833333333333, -66.74583333333334 10.541666666666666))"
94,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.4012177,"POLYGON ((-66.74166666666666 10.541666666666666, -66.7375 10.541666666666666, -66.7375 10.545833333333333, -66.74166666666666 10.545833333333333, -66.74166666666666 10.541666666666666))"
95,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.3970371,"POLYGON ((-66.7375 10.541666666666666, -66.73333333333333 10.541666666666666, -66.73333333333333 10.545833333333333, -66.7375 10.545833333333333, -66.7375 10.541666666666666))"
96,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.13065802,"POLYGON ((-66.73333333333333 10.541666666666666, -66.72916666666667 10.541666666666666, -66.72916666666667 10.545833333333333, -66.73333333333333 10.545833333333333, -66.73333333333333 10.541666666666666))"
97,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.13567817,"POLYGON ((-66.72916666666667 10.541666666666666, -66.72500000000001 10.541666666666666, -66.72500000000001 10.545833333333333, -66.72916666666667 10.545833333333333, -66.72916666666667 10.541666666666666))"
98,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.23454003,"POLYGON ((-66.725 10.541666666666666, -66.72083333333333 10.541666666666666, -66.72083333333333 10.545833333333333, -66.725 10.545833333333333, -66.725 10.541666666666666))"
99,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.5247951,"POLYGON ((-66.72083333333333 10.541666666666666, -66.71666666666667 10.541666666666666, -66.71666666666667 10.545833333333333, -66.72083333333333 10.545833333333333, -66.72083333333333 10.541666666666666))"
100,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,40.241062,"POLYGON ((-67.02083333333333 10.537499999999998, -67.01666666666667 10.537499999999998, -67.01666666666667 10.541666666666664, -67.02083333333333 10.541666666666664, -67.02083333333333 10.537499999999998))"
101,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,14.044943,"POLYGON ((-67.01666666666667 10.537499999999998, -67.0125 10.537499999999998, -67.0125 10.541666666666664, -67.01666666666667 10.541666666666664, -67.01666666666667 10.537499999999998))"
102,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,40.07266,"POLYGON ((-67.0125 10.537499999999998, -67.00833333333334 10.537499999999998, -67.00833333333334 10.541666666666664, -67.0125 10.541666666666664, -67.0125 10.537499999999998))"
103,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,38.60091,"POLYGON ((-67.00833333333334 10.537499999999998, -67.00416666666668 10.537499999999998, -67.00416666666668 10.541666666666664, -67.00833333333334 10.541666666666664, -67.00833333333334 10.537499999999998))"
104,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,5.308521,"POLYGON ((-67.00416666666666 10.537499999999998, -67 10.537499999999998, -67 10.541666666666664, -67.00416666666666 10.541666666666664, -67.00416666666666 10.537499999999998))"
105,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,11.750757,"POLYGON ((-67 10.537499999999998, -66.99583333333334 10.537499999999998, -66.99583333333334 10.541666666666664, -67 10.541666666666664, -67 10.537499999999998))"
106,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,11.7617235,"POLYGON ((-66.99583333333334 10.537499999999998, -66.99166666666667 10.537499999999998, -66.99166666666667 10.541666666666664, -66.99583333333334 10.541666666666664, -66.99583333333334 10.537499999999998))"
107,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,11.921851,"POLYGON ((-66.99166666666666 10.537499999999998, -66.9875 10.537499999999998, -66.9875 10.541666666666664, -66.99166666666666 10.541666666666664, -66.99166666666666 10.537499999999998))"
108,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,7.2772107,"POLYGON ((-66.9875 10.537499999999998, -66.98333333333333 10.537499999999998, -66.98333333333333 10.541666666666664, -66.9875 10.541666666666664, -66.9875 10.537499999999998))"
